id,inicio,fim,esporte,genero,fase,local1,local2,cidade
FB035,2016-08-19T13:00-03:00,2016-08-19T16:00-03:00,Futebol,Feminino,bronze,Arena Corinthians,Av. Miguel Ignácio Curi 111 - Vila Carmosina,São Paulo
FB007,2016-08-04T18:00-03:00,2016-08-04T23:00-03:00,Futebol,Masculino,primeira fase,Arena da Amazônia,Av. Constantino Nery -  Flores,Manaus
FB011,2016-08-07T18:00-03:00,2016-08-07T23:00-03:00,Futebol,Masculino,primeira fase,Arena da Amazônia,Av. Constantino Nery -  Flores,Manaus
FB017,2016-08-09T18:00-03:00,2016-08-09T23:00-03:00,Futebol,Feminino,primeira fase,Arena da Amazônia,Av. Constantino Nery -  Flores,Manaus
BK001,2016-08-06T12:00-03:00,2016-08-06T16:00-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK003,2016-08-06T17:30-03:00,2016-08-06T21:30-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK006,2016-08-07T12:00-03:00,2016-08-07T16:00-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK008,2016-08-07T17:30-03:00,2016-08-07T21:30-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK011,2016-08-08T12:00-03:00,2016-08-08T16:00-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK013,2016-08-08T17:30-03:00,2016-08-08T21:30-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK016,2016-08-09T12:15-03:00,2016-08-09T14:00-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK018,2016-08-09T15:30-03:00,2016-08-09T19:30-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK021,2016-08-10T12:15-03:00,2016-08-10T14:00-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK023,2016-08-10T15:30-03:00,2016-08-10T19:30-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK026,2016-08-11T12:15-03:00,2016-08-11T14:00-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK028,2016-08-11T15:30-03:00,2016-08-11T19:30-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK031,2016-08-12T12:15-03:00,2016-08-12T14:00-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK034,2016-08-12T15:30-03:00,2016-08-12T19:30-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
BK036,2016-08-13T12:15-03:00,2016-08-13T14:00-03:00,Basquetebol,Feminino,Primeira fase,Arena da Juventude,Estrada São Pedro de Alcântara 2020 - Vila Militar, Rio de Janeiro
